R1,R2,R3,R4,#atoms,Score1,Score2,Score3,Score4,EXX,EXX-C,EXX-LJ,Eintra,Eintra-C,Eintra-L,N12HB,DELHB,HBDnLig,HBAcLig,NNEB1,NNEB2,NGOOD,NBAD,NN2TOT,DSH-Total,DSH-FOSA,DSH-FISA,DSH-PISA,DSH-WPSA,DSL-Total,DSL-FOSA,DSL-FISA,DSL-PISA,DSL-WPSA,#stars,#amine,#nitro,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,BIPCaco,AffyPCaco,QPlogBB,AffyPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,QPlogHERG,RuleOf5,QP%HumanAbs
 111, 209,   1,   1,  84,      2.2509,     -2.4393,     -2.2039,      0.0000,        0.00,        0.00,        0.00,      199.94,      -27.07,      227.00,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -287.522,   -79.699,  -200.337,    -7.487,     0.000,  -373.554,  -265.536,   -33.493,   -61.904,   -12.621, 3, 0, 0, 0, 1,15, 1,-2,   763.701,     9.881,   940.517,   524.671,    89.867,   279.542,    46.437,  1902.558,     3.000,    20.200, 0.0513171, 0.0372002, 0.7895086,    63.025,    18.635,    37.087,    25.493,     1.877,    -3.737,    -5.787,   170.656,  1392.174,    -1.188,  1270.720,    -0.751,     5.884,     4.437,10,    -1.162,    -4.897,1, 81
 112, 209,   1,   1,  84,      2.2166,     -2.6601,     -2.2033,      0.0000,        0.00,        0.00,        0.00,      199.93,      -26.99,      226.93,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -292.062,   -79.699,  -204.876,    -7.487,     0.000,  -376.670,  -265.459,   -33.493,   -60.372,   -17.346, 3, 0, 0, 0, 1,15, 1,-2,   780.155,    12.161,   952.920,   522.960,    89.867,   271.550,    68.543,  1929.972,     3.000,    20.200, 0.0766261, 0.0367160, 0.7867005,    64.045,    19.547,    37.886,    25.476,     2.110,    -4.020,    -6.113,   135.032,  1392.174,    -1.140,  1679.355,    -0.779,     5.344,     3.782,10,    -1.103,    -4.904,1, 83
 113, 209,   1,   1,  84,      2.2073,     -2.7188,     -2.2032,      0.0000,        0.00,        0.00,        0.00,      199.87,      -27.01,      226.89,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -293.324,   -79.699,  -206.138,    -7.487,     0.000,  -377.515,  -265.443,   -33.493,   -60.154,   -18.425, 3, 0, 0, 0, 1,15, 1,-2,   824.606,    11.276,   956.841,   522.675,    89.867,   270.803,    73.496,  1937.711,     3.000,    20.200, 0.0656136, 0.0365656, 0.7855700,    64.348,    19.653,    37.862,    25.482,     2.172,    -4.101,    -6.998,   147.595,  1392.174,    -1.131,  1787.636,    -0.782,     5.582,     3.876,10,    -1.087,    -4.919,1, 83
 114, 209,   1,   1,  84,      2.1914,     -2.8423,     -2.2027,      0.0000,        0.00,        0.00,        0.00,      199.99,      -26.87,      226.85,        0.00,        0.00,        2.00,        5.00,    0,    0,    0,    0,     0.000,  -295.740,   -79.762,  -208.491,    -7.487,     0.000,  -378.963,  -265.387,   -33.493,   -59.694,   -20.389, 4, 0, 0, 0, 1,15, 1,-2,   871.607,    13.035,   962.321,   521.079,    89.867,   267.991,    83.385,  1953.635,     3.000,    20.200, 0.0869655, 0.0363573, 0.7853692,    64.958,    19.837,    38.420,    25.480,     2.301,    -4.227,    -7.940,   122.584,  1392.174,    -1.107,  2025.100,    -0.792,     5.287,     3.602,10,    -1.050,    -4.909,1, 84
 174, 209,   1,   1,  87,      4.0255,     -2.1172,     -2.1971,      0.0000,        0.00,        0.00,        0.00,      195.67,      -31.55,      227.23,        0.00,        0.00,        3.00,        7.00,    0,    0,    0,    0,     0.000,  -296.105,   -79.699,  -208.919,    -7.487,     0.000,  -383.769,  -264.714,   -62.419,   -56.635,     0.000, 5, 0, 0, 1, 1,16, 1,-2,   789.720,    11.404,   966.713,   519.824,   188.543,   258.346,     0.000,  1967.260,     4.000,    22.200, 0.0661094, 0.0459289, 0.7854324,    64.769,    20.198,    40.636,    29.281,     1.044,    -3.292,    -5.462,    13.536,    40.883,    -2.438,    19.862,    -2.548,     5.376,     3.683,10,    -1.518,    -3.054,1, 49
 175, 209,   1,   1,  86,      6.2708,     -1.5604,     -2.2005,      0.0000,        0.00,        0.00,        0.00,      201.30,      -26.12,      227.42,        0.00,        0.00,        2.00,        9.00,    0,    0,    0,    0,     0.000,  -294.692,   -79.699,  -207.507,    -7.487,     0.000,  -382.841,  -265.117,   -60.787,   -56.936,     0.000, 5, 0, 1, 0, 1,16, 1,-2,   790.708,    12.710,   967.337,   522.031,   182.752,   262.554,     0.000,  1958.976,     3.000,    21.200, 0.0824652, 0.0379593, 0.7827203,    64.478,    19.940,    38.721,    26.822,     0.952,    -3.433,    -5.912,    13.108,   183.173,    -2.389,    78.993,    -2.427,     5.248,     3.564,11,    -1.275,    -4.926,1, 60
 176, 209,   1,   1,  85,      3.3042,     -1.4677,     -2.2102,      0.0000,        0.00,        0.00,        0.00,      200.70,      -26.24,      226.94,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -296.294,   -79.699,  -209.109,    -7.487,     0.000,  -379.799,  -266.287,   -52.801,   -60.710,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   770.720,     9.301,   967.641,   533.139,   161.790,   272.713,     0.000,  1951.274,     3.000,    21.700, 0.0443332, 0.0388424, 0.7804218,    64.267,    19.826,    38.289,    27.242,     0.855,    -4.265,    -6.313,    29.654,   289.499,    -2.172,   129.555,    -2.004,     5.371,     3.652,10,    -1.393,    -5.011,1, 63
 177, 209,   1,   1,  86,      3.2987,     -1.2934,     -2.3604,      0.0000,        0.00,        0.00,        0.00,      200.95,      -26.19,      227.13,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -292.862,   -79.699,  -205.676,    -7.487,     0.000,  -380.301,  -284.380,   -37.639,   -58.282,     0.000, 4, 0, 0, 0, 1,16, 1,-2,   773.721,    10.466,   960.442,   538.741,   160.738,   260.964,     0.000,  1953.360,     3.000,    22.200, 0.0560768, 0.0400352, 0.7868317,    64.238,    19.681,    38.726,    27.630,     0.671,    -2.986,    -5.168,    29.303,   296.228,    -2.132,   132.813,    -2.026,     5.834,     4.329,10,    -1.469,    -4.851,1, 62
 178, 209,   1,   1,  89,      3.2448,     -1.6939,     -2.4628,      0.0000,        0.00,        0.00,        0.00,      199.23,      -28.14,      227.37,        0.00,        0.00,        2.00,        6.00,    0,    0,    0,    0,     0.000,  -306.038,   -80.508,  -218.043,    -7.487,     0.000,  -385.204,  -296.720,   -33.493,   -54.991,     0.000, 6, 0, 0, 0, 1,16, 1,-2,   787.747,    20.534,   984.521,   586.426,   144.499,   253.595,     0.000,  2006.894,     3.000,    22.200, 0.2100955, 0.0390561, 0.7815492,    66.310,    20.018,    41.466,    27.527,     1.081,    -3.344,    -5.444,    10.915,   422.291,    -1.978,   194.841,    -1.753,     6.468,     6.000,10,    -1.356,    -4.902,1, 67
 179, 209,   1,   1,  90,      4.2644,     -1.0131,     -2.2223,      0.0000,        0.00,        0.00,        0.00,      197.36,      -29.36,      226.73,        0.00,        0.00,        2.00,        7.00,    0,    0,    0,    0,     0.000,  -299.997,   -80.769,  -211.741,    -7.487,     0.000,  -383.417,  -267.752,   -59.061,   -56.604,     0.000, 7, 0, 0, 0, 1,16, 1,-2,   823.796,     9.866,  1004.753,   598.890,   159.849,   246.014,     0.000,  2045.314,     3.000,    24.200, 0.0475949, 0.0417174, 0.7755546,    67.775,    20.463,    40.877,    29.599,     0.360,    -2.947,    -5.333,    28.779,   302.029,    -2.173,   135.626,    -2.063,     5.393,     3.502,10,    -1.664,    -4.963,1, 60
